bayesopt_iteration,inference_iteration,expected_lhood
0,1,8.34807081125213e-19
0,2,2.2504111829992945e-18
0,3,5.6750675518411835e-18
0,4,1.3479921769838664e-17
0,5,3.0268317422539835e-17
0,6,6.438533392300427e-17
0,7,1.2999071945155366e-16
0,8,2.4959745455954313e-16
0,9,4.567858653997806e-16
0,10,7.986004424620004e-16
0,11,1.3369806192388267e-15
0,12,2.148567361258925e-15
0,13,3.3224631491467603e-15
0,14,4.955988426057615e-15
0,15,7.149025469234851e-15
0,16,9.997963439113652e-15
0,17,1.35903881300042e-14
0,18,1.8001428140753098e-14
0,19,2.3292079554305644e-14
0,20,2.950903775057262e-14
0,21,3.668501337993633e-14
0,22,4.4838668777523246e-14
0,23,5.3973968631290705e-14
0,24,6.407922050531734e-14
0,25,7.512632357987242e-14
0,26,8.707103992811251e-14
0,27,9.985522690397765e-14
0,28,1.1341139150591873e-13
0,29,1.2766863369754591e-13
0,30,1.4255813378101938e-13
0,31,1.580168562705419e-13
0,32,1.7398922035494935e-13
0,33,1.9042682928422824e-13
0,34,2.0728624187245922e-13
0,35,2.2452458131046154e-13
0,36,2.4209253662330617e-13
0,37,2.5992543571948745e-13
0,38,2.7793639289264023e-13
0,39,2.9601720468847843e-13
0,40,3.140492587783748e-13
0,41,3.319209768363074e-13
0,42,3.4954405146809883e-13
0,43,3.6686084555239394e-13
0,44,3.8384207822479153e-13
0,45,4.004815836911742e-13
0,46,4.1679406428493995e-13
0,47,4.3281487572739957e-13
0,48,4.485964646293676e-13
0,49,4.641980987956064e-13
0,50,4.796736525975924e-13
0,51,4.950674812785312e-13
0,52,5.10421876478167e-13
0,53,5.257884867539378e-13
0,54,5.412333138590742e-13
0,55,5.56833464143414e-13
0,56,5.726736841886641e-13
0,57,5.888487732429742e-13
0,58,6.054675536205588e-13
0,59,6.226491308954082e-13
0,60,6.405094750645508e-13
0,61,6.591489017974454e-13
0,62,6.786516335182419e-13
0,63,6.990945786384147e-13
0,64,7.205530361757138e-13
0,65,7.430993732284914e-13
0,66,7.668040991446862e-13
0,67,7.917444890088782e-13
0,68,8.180094442736722e-13
0,69,8.456894850942322e-13
0,70,8.74862315437035e-13
0,71,9.055905581675008e-13
0,72,9.37924265058943e-13
0,73,9.718927489321007e-13
0,74,1.0074982538321033e-12
0,75,1.0447292458515017e-12
0,76,1.083574343733466e-12
0,77,1.1240171490355398e-12
0,78,1.1660339266533445e-12
0,79,1.2096017032631877e-12
0,80,1.2546898816460076e-12
0,81,1.3012540648775235e-12
0,82,1.3492641076246385e-12
0,83,1.3987287249293646e-12
0,84,1.4497012164715793e-12
0,85,1.502293775094345e-12
0,86,1.5566660943874007e-12
0,87,1.6129950759689099e-12
0,88,1.6714795878641754e-12
0,89,1.7323373851569216e-12
