bayesopt_iteration,inference_iteration,expected_lhood
0,90,1.7957946364159895e-12
0,91,1.8620878280007283e-12
0,92,1.931432459542869e-12
0,93,2.004016734956245e-12
0,94,2.0800050066370526e-12
0,95,2.1595162363066893e-12
0,96,2.2426161158538254e-12
0,97,2.329286827281058e-12
0,98,2.4194495620515945e-12
0,99,2.512992000949836e-12
0,100,2.6097763782970068e-12
0,101,2.7096269525555405e-12
0,102,2.8123227469868062e-12
0,103,2.9176488179574076e-12
0,104,3.0254228669001645e-12
0,105,3.1355013146301343e-12
0,106,3.247764726305743e-12
0,107,3.362154919568227e-12
0,108,3.4786766624213673e-12
0,109,3.5973703869277795e-12
0,110,3.718300850327536e-12
0,111,3.841585067178081e-12
0,112,3.96736617129165e-12
0,113,4.095744098446835e-12
0,114,4.226788061520615e-12
0,115,4.360550463831396e-12
0,116,4.497026447268869e-12
0,117,4.636141417012757e-12
0,118,4.777777906409902e-12
0,119,4.921743354471097e-12
0,120,5.067762099481982e-12
0,121,5.215541234991887e-12
0,122,5.364754134287201e-12
0,123,5.515032729873489e-12
0,124,5.666041093874493e-12
0,125,5.817466131840059e-12
0,126,5.9690444843424985e-12
0,127,6.120616161297974e-12
0,128,6.272069455366817e-12
0,129,6.423382872805279e-12
0,130,6.574618811235899e-12
0,131,6.72586440311782e-12
0,132,6.8772634868869934e-12
0,133,7.028927800565775e-12
0,134,7.1809689838296595e-12
0,135,7.333461293558142e-12
0,136,7.486421640806617e-12
0,137,7.639842669077976e-12
0,138,7.793647197865918e-12
0,139,7.947787714842636e-12
0,140,8.102143443504822e-12
0,141,8.256679501537782e-12
0,142,8.41123965190543e-12
0,143,8.565866845689266e-12
0,144,8.720275393609005e-12
0,145,8.874641668411572e-12
0,146,9.028425241431065e-12
0,147,9.183114423512828e-12
0,148,9.338199715742247e-12
0,149,9.492725551636154e-12
0,150,9.647069121369452e-12
0,151,9.802406034551034e-12
0,152,9.958155084086762e-12
0,153,1.0114000002571641e-11
0,154,1.0271160466233927e-11
0,155,1.0429163982573064e-11
0,156,1.0587983404247705e-11
0,157,1.074842602787452e-11
0,158,1.0909935556594146e-11
0,159,1.1072945744717387e-11
0,160,1.1237746469878269e-11
0,161,1.1403801796778965e-11
0,162,1.1571862674517869e-11
0,163,1.1741792468137745e-11
0,164,1.1913225344052539e-11
0,165,1.2087050408761165e-11
0,166,1.22629315896663e-11
0,167,1.244074182742307e-11
0,168,1.2621389040595665e-11
0,169,1.2804525724544986e-11
0,170,1.2990210661329023e-11
0,171,1.3179292473798308e-11
0,172,1.3371491236545496e-11
0,173,1.3566956429857514e-11
0,174,1.3766437795036459e-11
0,175,1.3969739095887997e-11
0,176,1.4177030998247238e-11
0,177,1.4388935101998332e-11
0,178,1.4605330444098702e-11
0,179,1.4826379556139888e-11
0,180,1.5052536415295823e-11
0,181,1.5283754249798787e-11
0,182,1.5520210370402166e-11
0,183,1.5762144843842343e-11
0,184,1.600957837993986e-11
0,185,1.62627448805533e-11
0,186,1.652163828523963e-11
0,187,1.6786306580906747e-11
0,188,1.705703586554833e-11
0,189,1.733363716414112e-11
0,190,1.7616147452464443e-11
0,191,1.7904752941137402e-11
0,192,1.819922204536918e-11
0,193,1.849960011702267e-11
0,194,1.880575256118957e-11
0,195,1.9117481940962625e-11
0,196,1.9434815822517713e-11
0,197,1.9757359852890768e-11
0,198,2.008496541460341e-11
0,199,2.0417378916854104e-11
0,200,2.075422202603532e-11
0,201,2.1095356546171504e-11
0,202,2.1440272555503026e-11
0,203,2.1788752102259505e-11
0,204,2.214037509562048e-11
0,205,2.2494771262014544e-11
0,206,2.2851678033273495e-11
0,207,2.3210600951327805e-11
0,208,2.357135827072517e-11
0,209,2.3933424064069485e-11
0,210,2.429660989486026e-11
0,211,2.4660439565178275e-11
0,212,2.502466886985915e-11
0,213,2.5388902401611557e-11
0,214,2.5752825487386362e-11
0,215,2.611611788276982e-11
0,216,2.6478398765932184e-11
0,217,2.6839415386536288e-11
0,218,2.719872731064138e-11
0,219,2.7556156473023625e-11
0,220,2.7911188345024424e-11
0,221,2.826375122250001e-11
0,222,2.8613204357997494e-11
0,223,2.8959656287648182e-11
0,224,2.9302220100884815e-11
0,225,2.964133058819053e-11
0,226,2.997569611910033e-11
0,227,3.03064516068357e-11
0,228,3.063206247314612e-11
0,229,3.095442246380177e-11
0,230,3.127134986583903e-11
0,231,3.1583191317398975e-11
0,232,3.1888923028323257e-11
0,233,3.218851756191509e-11
0,234,3.248355608103027e-11
0,235,3.2772618918359606e-11
0,236,3.3056130893146136e-11
0,237,3.3333073438232236e-11
0,238,3.360350452089366e-11
0,239,3.3868760472099457e-11
0,240,3.41277082212115e-11
0,241,3.438076411538781e-11
0,242,3.462746846349374e-11
0,243,3.486786213202745e-11
0,244,3.510307958544138e-11
0,245,3.5332196100801215e-11
0,246,3.555563569768848e-11
0,247,3.5773370869421886e-11
0,248,3.59853810478458e-11
0,249,3.61926174648003e-11
0,250,3.6394398355576946e-11
0,251,3.659115685348784e-11
0,252,3.678303478255618e-11
0,253,3.696998210964336e-11
0,254,3.715279518317876e-11
0,255,3.733098562357462e-11
0,256,3.750498840448779e-11
0,257,3.7674906093326626e-11
0,258,3.784071543721261e-11
0,259,3.8003054699475064e-11
0,260,3.816155216476997e-11
0,261,3.8316658485477684e-11
0,262,3.8468319651934e-11
0,263,3.861659851077943e-11
0,264,3.8761920726540366e-11
0,265,3.890401702403673e-11
0,266,3.904334932717545e-11
0,267,3.917969213403643e-11
0,268,3.9313254268419006e-11
0,269,3.944414821230863e-11
0,270,3.9572275054585655e-11
0,271,3.969797882016987e-11
0,272,3.9820991149675024e-11
0,273,3.994164474478962e-11
0,274,4.0059732866686463e-11
0,275,4.017541976956506e-11
0,276,4.028869288843266e-11
0,277,4.039950974226657e-11
0,278,4.050803260255326e-11
0,279,4.061406460707908e-11
0,280,4.071785651170166e-11
0,281,4.081914863006833e-11
0,282,4.091820063351495e-11
0,283,4.101476363473059e-11
0,284,4.110905926694761e-11
0,285,4.1200885461768e-11
0,286,4.1290412878303456e-11
0,287,4.1377489573579213e-11
0,288,4.146224404085555e-11
0,289,4.154456056412838e-11
0,290,4.162454639304513e-11
0,291,4.170210093653051e-11
0,292,4.177733515661317e-11
0,293,4.185013712159858e-11
0,294,4.192065313610353e-11
0,295,4.1988721870859303e-11
0,296,4.205457156233913e-11
0,297,4.21179199667571e-11
0,298,4.2179159092715595e-11
0,299,4.223772778480937e-11
0,300,4.229432872589218e-11
0,301,4.2347761152737034e-11
0,302,4.2399379042339046e-11
0,303,4.2447087287698856e-11
0,304,4.249463644052018e-11
0,305,4.2540371808706765e-11
0,306,4.25876125616428e-11
0,307,4.263037215790119e-11
0,308,4.266834051777197e-11
0,309,4.270543413688508e-11
0,310,4.2741734663098435e-11
0,311,4.277778936471083e-11
0,312,4.2809675840161595e-11
0,313,4.283856082994532e-11
0,314,4.2868522266704694e-11
0,315,4.289645630548054e-11
0,316,4.2921525676733165e-11
0,317,4.2945116038640905e-11
0,318,4.296748376742002e-11
0,319,4.298927007700726e-11
0,320,4.3008432682194135e-11
0,321,4.302559357132705e-11
0,322,4.304295041123512e-11
0,323,4.305841945207233e-11
0,324,4.3071908583390455e-11
0,325,4.308466519505415e-11
0,326,4.309615137519287e-11
0,327,4.310671165403786e-11
0,328,4.311571606181086e-11
0,329,4.3123332925085697e-11
0,330,4.313069590893225e-11
0,331,4.3136577237342746e-11
0,332,4.314107930226252e-11
0,333,4.314502187417672e-11
0,334,4.314779352299454e-11
0,335,4.3149722647616176e-11
0,336,4.3150580062982145e-11
0,337,4.315030591707959e-11
0,338,4.3149598379719336e-11
0,339,4.3147757900230275e-11
0,340,4.314490079776039e-11
0,341,4.314145180639489e-11
0,342,4.313701057000669e-11
0,343,4.3131927378483615e-11
0,344,4.312597295472935e-11
0,345,4.311910041487275e-11
0,346,4.3111768373569234e-11
0,347,4.310354542727584e-11
0,348,4.3094599188763574e-11
0,349,4.308502914956872e-11
0,350,4.307464305650781e-11
0,351,4.306377614014004e-11
0,352,4.305215559048876e-11
0,353,4.303983810332547e-11
0,354,4.302702663899436e-11
0,355,4.301348948266236e-11
0,356,4.2999459669204345e-11
0,357,4.2984808187240383e-11
0,358,4.296952450837713e-11
0,359,4.2953810794039686e-11
0,360,4.293746386895127e-11
0,361,4.2920650719155225e-11
0,362,4.290331861374861e-11
0,363,4.2885430705326005e-11
0,364,4.286715786148077e-11
0,365,4.284834000456648e-11
0,366,4.282910539730484e-11
0,367,4.280942644737344e-11
0,368,4.278926781722826e-11
0,369,4.276876355267673e-11
0,370,4.27477896247338e-11
0,371,4.272645377982182e-11
0,372,4.270472623716257e-11
0,373,4.268258908112337e-11
0,374,4.266013970404392e-11
0,375,4.263728345959379e-11
0,376,4.2614117619729835e-11
0,377,4.259060061987162e-11
0,378,4.256674023652603e-11
0,379,4.2542596270907036e-11
0,380,4.251810292496316e-11
0,381,4.249334712359318e-11
0,382,4.246827677799227e-11
0,383,4.244292574822535e-11
0,384,4.241731431320064e-11
0,385,4.2391409211272515e-11
0,386,4.23652774442186e-11
0,387,4.233886670635923e-11
0,388,4.231222878646732e-11
0,389,4.228534870053244e-11
0,390,4.2258228996581395e-11
0,391,4.223090402882805e-11
0,392,4.2203338920160025e-11
0,393,4.2175585593125594e-11
0,394,4.214761048855282e-11
0,395,4.2119445694779656e-11
0,396,4.209108850068325e-11
0,397,4.206253637591029e-11
0,398,4.203381802154546e-11
0,399,4.200490806227165e-11
0,400,4.197584535125029e-11
0,401,4.1946605670824096e-11
0,402,4.1917215545698104e-11
0,403,4.1887669766043534e-11
0,404,4.185797233651998e-11
0,405,4.182813947521524e-11
0,406,4.1798157306864927e-11
0,407,4.176805345033302e-11
0,408,4.1737808788273336e-11
0,409,4.1707448984949725e-11
0,410,4.167696188137791e-11
0,411,4.164636190510774e-11
0,412,4.16156497225539e-11
0,413,4.1584826355569875e-11
0,414,4.155390433054317e-11
0,415,4.152287476886979e-11
0,416,4.149175674147455e-11
0,417,4.1460537617463985e-11
0,418,4.1429236878713394e-11
0,419,4.1397843706870245e-11
0,420,4.1366373366002523e-11
0,421,4.1334820330206434e-11
0,422,4.130319345982672e-11
0,423,4.127149350629938e-11
0,424,4.1239722887921764e-11
0,425,4.120788794140825e-11
0,426,4.1175985895778574e-11
0,427,4.114402708806156e-11
0,428,4.1112005267160366e-11
0,429,4.1079933171857586e-11
0,430,4.104780256115668e-11
0,431,4.1015627313898376e-11
0,432,4.098339822731686e-11
0,433,4.095112963460481e-11
0,434,4.09188117896301e-11
0,435,4.088645931355394e-11
0,436,4.085406185019101e-11
0,437,4.082163463180249e-11
0,438,4.0789166128694865e-11
0,439,4.0756672950983644e-11
0,440,4.072414140919367e-11
0,441,4.0691590753203696e-11
0,442,4.065900354546527e-11
0,443,4.0626403646829484e-11
0,444,4.0593767433388256e-11
0,445,4.056112645173122e-11
0,446,4.052844696256288e-11
0,447,4.04957732018332e-11
0,448,4.0463054812040364e-11
0,449,4.0430357058493465e-11
0,450,4.039760179937316e-11
0,451,4.036488966417655e-11
0,452,4.0332094978895726e-11
0,453,4.029937876167491e-11
0,454,4.0266531821792915e-11
0,455,4.0233819667509875e-11
0,456,4.02008821425774e-11
0,457,4.0168166419303937e-11
0,458,4.0135033699660186e-11
0,459,4.010224700485977e-11
0,460,4.006867085629017e-11
0,461,4.003564932761583e-11
0,462,4.000139856620366e-11
0,463,3.996848578962038e-11
0,464,3.9934857382670945e-11
0,465,3.9903791639928975e-11
0,466,3.987199843053181e-11
0,467,3.984009467516735e-11
0,468,3.9806933400318384e-11
0,469,3.977286071291474e-11
0,470,3.9740506604756875e-11
0,471,3.9708089176336586e-11
0,472,3.9676382583348555e-11
0,473,3.964363874788179e-11
0,474,3.9610122083589715e-11
0,475,3.957769374029543e-11
0,476,3.954512270424874e-11
0,477,3.951311505400143e-11
0,478,3.948043809196474e-11
0,479,3.9447245024249636e-11
0,480,3.941490842462074e-11
0,481,3.9382361127933237e-11
0,482,3.935015595878882e-11
0,483,3.9317590509512313e-11
0,484,3.9284701627401404e-11
0,485,3.92525181699181e-11
0,486,3.922010613878616e-11
0,487,3.918788538092109e-11
0,488,3.9155515768784705e-11
0,489,3.912292209094126e-11
0,490,3.909086875126669e-11
0,491,3.9058591737038553e-11
0,492,3.902641849020168e-11
0,493,3.899421036434612e-11
0,494,3.8961825660037946e-11
0,495,3.8929842446179465e-11
0,496,3.8897673025573824e-11
0,497,3.886557685403807e-11
0,498,3.8833505959249145e-11
0,499,3.8801302635543544e-11
0,500,3.8769407447642966e-11
0,501,3.87373740496793e-11
0,502,3.8705411812364414e-11
0,503,3.867349728997694e-11
0,504,3.864148542848642e-11
0,505,3.860971036153315e-11
0,506,3.857783202245356e-11
0,507,3.854602692170059e-11
0,508,3.851426364505094e-11
0,509,3.848243011447828e-11
0,510,3.8450779076666444e-11
0,511,3.841904917977933e-11
0,512,3.838739795299309e-11
0,513,3.83557765347326e-11
0,514,3.832411449965611e-11
0,515,3.8292595785587687e-11
0,516,3.826101996858786e-11
0,517,3.8229532836948596e-11
0,518,3.819806521193268e-11
0,519,3.816658742171764e-11
0,520,3.813522226478141e-11
0,521,3.8103819816214e-11
0,522,3.8072511930784176e-11
0,523,3.804121327672764e-11
0,524,3.80099315414223e-11
0,525,3.797873322031138e-11
0,526,3.794751390354564e-11
0,527,3.791638660301809e-11
0,528,3.7885260313559415e-11
0,529,3.785417288902487e-11
0,530,3.782314208340798e-11
0,531,3.779210841303015e-11
0,532,3.7761158140458806e-11
0,533,3.773020730187591e-11
0,534,3.7699313222587033e-11
0,535,3.766845590104183e-11
0,536,3.763761686510355e-11
0,537,3.7606847507162815e-11
0,538,3.757608344758034e-11
0,539,3.7545385373472067e-11
0,540,3.751471018245081e-11
0,541,3.748407247333381e-11
0,542,3.7453486458564885e-11
0,543,3.7422916298568834e-11
0,544,3.7392409595226226e-11
0,545,3.736191962303592e-11
0,546,3.733148056488141e-11
0,547,3.73010766096723e-11
